plant_genotype	strain	nodule	nodule_raw	nodabove	nodabove_raw	nodred	nodred_raw	weight	weight_raw
A17	1200	-10.5745112570435	28	-0.969780041849493	20.25	10.2368622907824	27	0.320306233018648	0.701
A17	1201	-12.0839252979583	18.25	-4.41508588902255	16	-5.79181554366602	9	-0.196253433736557	0.07295
A17	1202	-8.29715220105484	29.25	-2.64801051042793	18.75	7.66825330522826	26.25	-0.035068817295283	0.2475
A17	1203	-11.1095407242263	21	-0.986640621063178	17	-2.53013076574294	11.25	-0.166448600358955	0.1585
A17	1204	6.79000159182691	31.75	10.094836879285	28	-10.5407547847122	2	-0.162280749378282	0.07355
A17	1205	8.51653238598852	46	0.00343661062923406	20.5	-16.0311915246968	0	-0.246418766981352	0.134275
A17	1206	-12.9210790908401	30	-5.90793327873552	18	-20.8328074537256	0	-0.26351398391768	0.0748
A17	1208	-1.86258041781888	35	-7.04967243086603	17.5	10.4246223427843	30.75	-0.0560711329370073	0.193125
A17	1210	-3.60954072422627	28.5	-5.98664062106318	12	-10.2801307657429	3.5	-0.226673600358955	0.098275
A17	1211	-21.6095407242263	10.5	-11.2366406210632	6.75	-5.53013076574294	8.25	0.0156763996410453	0.340625
A17	1212	-5.39457019140905	20.25	-4.00350120027686	10.75	3.45287617773174	14.25	0.0920465662634425	0.36125
A17	1214	2.39045927577373	34.5	8.01335937893682	26	3.96986923425706	17.75	0.0920513996410453	0.417
